day,fill_rate,lost_sales,budget_spent,revenue
1,1.0,0,0.0,52065.0
2,1.0,0,0.0,44575.0
3,1.0,0,0.0,54345.0
4,1.0,0,0.0,55300.0
5,1.0,0,0.0,61600.0
6,1.0,0,0.0,46865.0
7,1.0,0,0.0,56010.0
8,1.0,0,215.0,40240.0
9,1.0,0,1365.0,39570.0
10,1.0,0,1565.0,52915.0
11,1.0,0,11685.0,55035.0
12,1.0,0,21560.0,45815.0
13,1.0,0,12810.0,54380.0
14,1.0,0,20235.0,46990.0
15,1.0,0,24160.0,53070.0
16,0.8433734939759037,39,25485.0,55020.0
17,1.0,0,28010.0,53995.0
18,1.0,0,22960.0,46855.0
19,0.9723756906077348,5,26885.0,43760.0
20,1.0,0,26885.0,48310.0
21,1.0,0,20710.0,46140.0
22,1.0,0,29915.0,49590.0
23,1.0,0,22960.0,63560.0
24,1.0,0,28010.0,51610.0
25,0.9358288770053476,12,25760.0,43270.0
26,1.0,0,29460.0,58125.0
27,1.0,0,29460.0,51880.0
28,0.8860759493670886,18,29785.0,43245.0
29,0.905,19,28010.0,33995.0
30,0.9157303370786517,15,28010.0,21375.0
31,0.8932038834951457,22,24870.0,40885.0
32,1.0,0,25995.0,50080.0
33,1.0,0,24870.0,57360.0
34,1.0,0,24870.0,51340.0
35,1.0,0,24870.0,42840.0
36,1.0,0,24870.0,62245.0
37,1.0,0,24870.0,61185.0
38,1.0,0,24870.0,55960.0
39,1.0,0,25995.0,42730.0
40,0.8685446009389671,28,24870.0,61340.0
41,1.0,0,29370.0,61065.0
42,0.9948453608247423,1,29370.0,47950.0
43,1.0,0,29825.0,54250.0
44,1.0,0,25075.0,41700.0
45,0.7419354838709677,48,25075.0,30500.0
46,0.7083333333333334,42,28820.0,27575.0
47,0.87,26,29695.0,36960.0
48,0.7916666666666666,35,29695.0,34705.0
49,1.0,0,29695.0,49890.0
50,0.9272727272727272,12,29695.0,48540.0
51,1.0,0,29695.0,57795.0
52,1.0,0,29695.0,43040.0
53,1.0,0,29695.0,41455.0
54,0.9758454106280193,5,29695.0,55170.0
55,0.9208333333333333,19,26295.0,47035.0
56,0.8909952606635071,23,22595.0,44475.0
57,0.8861386138613861,23,22595.0,33690.0
58,1.0,0,22595.0,48405.0
59,1.0,0,22595.0,47315.0
60,1.0,0,23010.0,53850.0
61,1.0,0,23210.0,66730.0
62,1.0,0,23210.0,51890.0
63,1.0,0,28165.0,47525.0
64,1.0,0,28165.0,48785.0
65,1.0,0,27965.0,47750.0
66,1.0,0,28165.0,49675.0
67,1.0,0,27965.0,48485.0
68,1.0,0,27965.0,60175.0
69,1.0,0,27965.0,58440.0
70,1.0,0,28165.0,46075.0
71,1.0,0,27965.0,50985.0
72,1.0,0,26510.0,62965.0
73,1.0,0,27860.0,59030.0
74,1.0,0,28060.0,51020.0
75,1.0,0,13535.0,43655.0
76,1.0,0,2765.0,55780.0
77,1.0,0,20035.0,56480.0
78,0.8088888888888889,43,11285.0,55565.0
79,1.0,0,20635.0,49765.0
80,1.0,0,11485.0,46235.0
81,1.0,0,10760.0,57405.0
82,1.0,0,20635.0,50105.0
83,0.8172043010752689,34,3815.0,56710.0
84,1.0,0,29435.0,58940.0
85,1.0,0,20485.0,52640.0
86,1.0,0,29435.0,45430.0
87,1.0,0,20485.0,64105.0
88,1.0,0,29985.0,34765.0
89,1.0,0,29985.0,56140.0
90,1.0,0,29785.0,65890.0
